================== DRONE: Saint-Léonard ================

0 :  [8, 174]
186 :  [49, 56]
187 :  [56, 49]
188 :  [49, 10]
189 :  [10, 49]
190 :  [49, 10]
191 :  [10, 10]
192 :  [10, 10]
193 :  [10, 10]
194 :  [10, 10]
195 :  [10, 10]
196 :  [10, 10]
197 :  [10, 10]
198 :  [10, 10]
199 :  [10, 10]
200 :  [10, 10]
201 :  [10, 10]
202 :  [10, 10]
203 :  [10, 10]
204 :  [10, 10]
205 :  [10, 10]
206 :  [10, 10]
207 :  [10, 10]
208 :  [10, 10]
209 :  [10, 10]
210 :  [10, 10]
211 :  [10, 10]
212 :  [10, 10]
213 :  [10, 10]
214 :  [10, 10]
215 :  [10, 10]
216 :  [10, 10]
217 :  [10, 10]
218 :  [10, 10]
219 :  [10, 10]
220 :  [10, 10]
221 :  [10, 10]
222 :  [10, 10]
223 :  [10, 10]
224 :  [10, 10]
225 :  [10, 49]
226 :  [49, 49]
227 :  [49, 10]
228 :  [10, 10]
229 :  [10, 10]
230 :  [10, 10]
231 :  [10, 349]
232 :  [349, 10]
233 :  [10, 10]
234 :  [10, 183]
235 :  [183, 10]
236 :  [10, 10]
237 :  [10, 10]
238 :  [10, 17]
239 :  [17, 17]
240 :  [17, 17]
241 :  [17, 17]
242 :  [17, 17]
243 :  [17, 17]
244 :  [17, 17]
245 :  [17, 17]
246 :  [17, 10]
247 :  [10, 17]
248 :  [17, 56]
249 :  [56, 180]
250 :  [180, 56]
251 :  [56, 180]
252 :  [180, 180]
253 :  [180, 10]
254 :  [10, 56]
255 :  [56, 180]
256 :  [180, 180]
257 :  [180, 17]
258 :  [17, 176]
259 :  [176, 10]
260 :  [10, 176]
261 :  [176, 176]
262 :  [176, 56]
263 :  [56, 17]
264 :  [17, 10]
265 :  [10, 56]
266 :  [56, 180]
267 :  [180, 56]
268 :  [56, 56]
269 :  [56, 180]
270 :  [180, 56]
271 :  [56, 180]
272 :  [180, 180]
273 :  [180, 10]
274 :  [10, 180]
275 :  [180, 10]
276 :  [10, 10]
277 :  [10, 10]
278 :  [10, 10]
279 :  [10, 10]
280 :  [10, 10]
281 :  [10, 10]
282 :  [10, 56]
283 :  [56, 10]
284 :  [10, 17]
285 :  [17, 10]
286 :  [10, 10]
287 :  [10, 49]
288 :  [49, 56]
289 :  [56, 10]
290 :  [10, 180]
291 :  [180, 10]
292 :  [10, 180]
293 :  [180, 17]
294 :  [17, 56]
295 :  [56, 176]
296 :  [176, 56]
297 :  [56, 56]
298 :  [56, 56]
299 :  [56, 56]
300 :  [56, 10]
301 :  [10, 10]
302 :  [10, 10]
303 :  [10, 10]
304 :  [10, 10]
305 :  [10, 10]
306 :  [10, 10]
307 :  [10, 10]
308 :  [10, 10]
309 :  [10, 10]
310 :  [10, 10]
311 :  [10, 10]
312 :  [10, 10]
313 :  [10, 10]
314 :  [10, 10]
315 :  [10, 10]
316 :  [10, 10]
317 :  [10, 10]
318 :  [10, 10]
319 :  [10, 17]
320 :  [17, 10]
321 :  [10, 10]
322 :  [10, 183]
323 :  [183, 10]
324 :  [10, 10]
325 :  [10, 10]
326 :  [10, 49]
327 :  [49, 10]
328 :  [10, 10]
329 :  [10, 49]
330 :  [49, 10]
331 :  [10, 10]
332 :  [10, 10]
333 :  [10, 10]
334 :  [10, 10]
335 :  [10, 10]
336 :  [10, 49]
337 :  [49, 10]
338 :  [10, 10]
339 :  [10, 49]
340 :  [49, 10]
341 :  [10, 10]
342 :  [10, 10]
343 :  [10, 10]
344 :  [10, 10]
345 :  [10, 10]
346 :  [10, 10]
347 :  [10, 10]
348 :  [10, 10]
349 :  [10, 10]
350 :  [10, 10]
351 :  [10, 10]
352 :  [10, 10]
353 :  [10, 10]
354 :  [10, 10]
355 :  [10, 10]
356 :  [10, 10]
357 :  [10, 10]
358 :  [10, 10]
359 :  [10, 10]
360 :  [10, 10]
361 :  [10, 10]
362 :  [10, 10]
363 :  [10, 10]
364 :  [10, 10]
365 :  [10, 10]
366 :  [10, 10]
367 :  [10, 10]
368 :  [10, 10]
369 :  [10, 10]
370 :  [10, 10]
371 :  [10, 10]
372 :  [10, 10]
373 :  [10, 10]
374 :  [10, 10]
375 :  [10, 10]
376 :  [10, 175]
377 :  [175, 175]
378 :  [175, 10]
379 :  [10, 175]
380 :  [175, 10]
381 :  [10, 49]
382 :  [49, 10]
383 :  [10, 10]
384 :  [10, 10]
385 :  [10, 10]
386 :  [10, 10]
387 :  [10, 10]
388 :  [10, 10]
389 :  [10, 10]
390 :  [10, 10]
391 :  [10, 10]
392 :  [10, 10]
393 :  [10, 10]
394 :  [10, 10]
395 :  [10, 10]
396 :  [10, 10]
397 :  [10, 49]
398 :  [49, 10]
399 :  [10, 10]
400 :  [10, 10]
401 :  [10, 10]
402 :  [10, 10]
403 :  [10, 10]
404 :  [10, 10]
405 :  [10, 10]
406 :  [10, 10]
407 :  [10, 10]
408 :  [10, 10]
409 :  [10, 10]
410 :  [10, 10]
411 :  [10, 10]
412 :  [10, 10]
413 :  [10, 10]
414 :  [10, 10]
415 :  [10, 10]
416 :  [10, 10]
417 :  [10, 10]
418 :  [10, 10]
419 :  [10, 10]
420 :  [10, 10]
421 :  [10, 10]
422 :  [10, 10]
423 :  [10, 10]
424 :  [10, 10]
425 :  [10, 10]
426 :  [10, 157]
427 :  [157, 157]
428 :  [157, 10]
429 :  [10, 10]
430 :  [10, 10]
431 :  [10, 10]
432 :  [10, 10]
433 :  [10, 10]
434 :  [10, 10]
435 :  [10, 10]
436 :  [10, 10]
437 :  [10, 10]
438 :  [10, 10]
439 :  [10, 10]
440 :  [10, 10]
441 :  [10, 10]
442 :  [10, 10]
443 :  [10, 10]
444 :  [10, 10]
445 :  [10, 10]
446 :  [10, 10]
447 :  [10, 10]
448 :  [10, 10]
449 :  [10, 10]
450 :  [10, 10]
451 :  [10, 10]
452 :  [10, 10]
453 :  [10, 10]
454 :  [10, 10]
455 :  [10, 175]
456 :  [175, 10]
457 :  [10, 10]
458 :  [10, 10]
459 :  [10, 49]
460 :  [49, 49]
461 :  [49, 49]
462 :  [49, 10]
463 :  [10, 176]
464 :  [176, 176]
465 :  [176, 176]
466 :  [176, 10]
467 :  [10, 101]
468 :  [101, 101]
469 :  [101, 101]
470 :  [101, 10]
471 :  [10, 10]
472 :  [10, 176]
473 :  [176, 176]
474 :  [176, 176]
475 :  [176, 10]
476 :  [10, 10]
477 :  [10, 10]
478 :  [10, 10]
479 :  [10, 10]
480 :  [10, 10]
481 :  [10, 10]
482 :  [10, 10]
483 :  [10, 10]
484 :  [10, 101]
485 :  [101, 10]
486 :  [10, 10]
487 :  [10, 10]
488 :  [10, 101]
489 :  [101, 101]
490 :  [101, 10]
491 :  [10, 415]
492 :  [415, 10]
493 :  [10, 10]
494 :  [10, 10]
495 :  [10, 10]
496 :  [10, 10]
497 :  [10, 10]
498 :  [10, 101]
499 :  [101, 10]
500 :  [10, 10]
501 :  [10, 10]
502 :  [10, 10]
503 :  [10, 10]
504 :  [10, 49]
505 :  [49, 10]
506 :  [10, 10]
507 :  [10, 10]
508 :  [10, 10]
509 :  [10, 10]
510 :  [10, 10]
511 :  [10, 10]
512 :  [10, 10]
513 :  [10, 10]
514 :  [10, 10]
515 :  [10, 10]
516 :  [10, 10]
517 :  [10, 10]
518 :  [10, 10]
519 :  [10, 10]
520 :  [10, 10]
521 :  [10, 10]
522 :  [10, 10]
523 :  [10, 10]
524 :  [10, 10]
525 :  [10, 10]
526 :  [10, 10]
527 :  [10, 10]
528 :  [10, 10]
529 :  [10, 10]
530 :  [10, 10]
531 :  [10, 10]
532 :  [10, 10]
533 :  [10, 10]
534 :  [10, 10]
535 :  [10, 10]
536 :  [10, 10]
537 :  [10, 349]
538 :  [349, 10]
539 :  [10, 56]
540 :  [56, 56]
541 :  [56, 10]
542 :  [10, 10]
543 :  [10, 49]
544 :  [49, 10]
545 :  [10, 10]
546 :  [10, 10]
547 :  [10, 10]
548 :  [10, 10]
549 :  [10, 10]
550 :  [10, 10]
551 :  [10, 10]
552 :  [10, 10]
553 :  [10, 10]
554 :  [10, 10]
555 :  [10, 10]
556 :  [10, 10]
557 :  [10, 10]
558 :  [10, 10]
559 :  [10, 10]
560 :  [10, 10]
561 :  [10, 10]
562 :  [10, 56]
563 :  [56, 10]
564 :  [10, 10]
565 :  [10, 56]
566 :  [56, 10]
567 :  [10, 10]
568 :  [10, 10]
569 :  [10, 10]
570 :  [10, 10]
571 :  [10, 10]
572 :  [10, 10]
573 :  [10, 10]
574 :  [10, 56]
575 :  [56, 10]
576 :  [10, 10]
577 :  [10, 10]
578 :  [10, 10]
579 :  [10, 10]
580 :  [10, 10]
581 :  [10, 56]
582 :  [56, 56]
583 :  [56, 56]
584 :  [56, 346]
585 :  [346, 35]
586 :  [35, 346]
587 :  [346, 56]
588 :  [56, 56]
589 :  [56, 180]
590 :  [180, 180]
591 :  [180, 180]
592 :  [180, 56]
593 :  [56, 56]
594 :  [56, 10]
595 :  [10, 56]
596 :  [56, 56]
597 :  [56, 384]
598 :  [384, 346]
599 :  [346, 384]
600 :  [384, 56]
601 :  [56, 10]
602 :  [10, 56]
603 :  [56, 56]
604 :  [56, 56]
605 :  [56, 56]
606 :  [56, 10]
607 :  [10, 10]
608 :  [10, 10]
609 :  [10, 10]
610 :  [10, 10]
611 :  [10, 10]
612 :  [10, 10]
613 :  [10, 10]
614 :  [10, 10]
615 :  [10, 10]
616 :  [10, 10]
617 :  [10, 10]
618 :  [10, 10]
619 :  [10, 10]
620 :  [10, 10]
621 :  [10, 10]
622 :  [10, 10]
623 :  [10, 10]
624 :  [10, 10]
625 :  [10, 10]
626 :  [10, 10]
627 :  [10, 10]
628 :  [10, 10]
629 :  [10, 10]
630 :  [10, 10]
631 :  [10, 10]
632 :  [10, 10]
633 :  [10, 10]
634 :  [10, 10]
635 :  [10, 10]
636 :  [10, 10]
637 :  [10, 10]
638 :  [10, 49]
639 :  [49, 49]
640 :  [49, 10]
641 :  [10, 10]
642 :  [10, 10]
643 :  [10, 10]
644 :  [10, 10]
645 :  [10, 10]
646 :  [10, 10]
647 :  [10, 10]
648 :  [10, 10]
649 :  [10, 10]
650 :  [10, 10]
651 :  [10, 10]
652 :  [10, 10]
653 :  [10, 10]
654 :  [10, 10]
655 :  [10, 10]
656 :  [10, 10]
657 :  [10, 10]
658 :  [10, 10]
659 :  [10, 10]
660 :  [10, 10]
661 :  [10, 10]
662 :  [10, 10]
663 :  [10, 10]
664 :  [10, 10]
665 :  [10, 10]
666 :  [10, 10]
667 :  [10, 10]
668 :  [10, 10]
669 :  [10, 10]
670 :  [10, 10]
671 :  [10, 10]
672 :  [10, 10]
673 :  [10, 10]
674 :  [10, 10]
675 :  [10, 10]
676 :  [10, 56]
677 :  [56, 56]
678 :  [56, 10]
679 :  [10, 10]
680 :  [10, 56]
681 :  [56, 346]
682 :  [346, 346]
683 :  [346, 346]
684 :  [346, 384]
685 :  [384, 346]
686 :  [346, 384]
687 :  [384, 35]
688 :  [35, 358]
689 :  [358, 35]
690 :  [35, 56]
691 :  [56, 10]
692 :  [10, 180]
693 :  [180, 346]
694 :  [346, 346]
695 :  [346, 10]
696 :  [10, 10]
697 :  [10, 56]
698 :  [56, 35]
699 :  [35, 157]
700 :  [157, 384]
701 :  [384, 10]
702 :  [10, 10]
703 :  [10, 10]
704 :  [10, 10]
705 :  [10, 10]
706 :  [10, 10]
707 :  [10, 10]
708 :  [10, 10]
709 :  [10, 10]
710 :  [10, 10]
711 :  [10, 10]
712 :  [10, 10]
713 :  [10, 10]
714 :  [10, 10]
715 :  [10, 10]
716 :  [10, 10]
717 :  [10, 10]
718 :  [10, 10]
719 :  [10, 10]
720 :  [10, 10]
721 :  [10, 10]
722 :  [10, 10]
723 :  [10, 10]
724 :  [10, 10]
725 :  [10, 10]
726 :  [10, 10]
727 :  [10, 10]
728 :  [10, 10]
729 :  [10, 10]
730 :  [10, 10]
731 :  [10, 10]
732 :  [10, 10]
733 :  [10, 56]
734 :  [56, 10]
735 :  [10, 10]
736 :  [10, 56]
737 :  [56, 10]
738 :  [10, 10]
739 :  [10, 10]
740 :  [10, 10]
741 :  [10, 10]
742 :  [10, 10]
743 :  [10, 10]
744 :  [10, 10]
745 :  [10, 10]
746 :  [10, 10]
747 :  [10, 10]
748 :  [10, 10]
749 :  [10, 10]
750 :  [10, 10]
751 :  [10, 10]
752 :  [10, 10]
753 :  [10, 10]
754 :  [10, 10]
755 :  [10, 10]
756 :  [10, 10]
757 :  [10, 49]
758 :  [49, 10]
759 :  [10, 10]
760 :  [10, 10]
761 :  [10, 17]
762 :  [17, 17]
763 :  [17, 10]
764 :  [10, 10]
765 :  [10, 10]
766 :  [10, 49]
767 :  [49, 10]
768 :  [10, 49]
769 :  [49, 49]
770 :  [49, 10]
771 :  [10, 49]
772 :  [49, 10]
773 :  [10, 10]
774 :  [10, 10]
775 :  [10, 10]
776 :  [10, 10]
777 :  [10, 10]
778 :  [10, 10]
779 :  [10, 10]
780 :  [10, 10]
781 :  [10, 10]
782 :  [10, 157]
783 :  [157, 10]
784 :  [10, 157]
785 :  [157, 10]
786 :  [10, 157]
787 :  [157, 155]
788 :  [155, 415]
789 :  [415, 155]
790 :  [155, 155]
791 :  [155, 155]
792 :  [155, 10]
793 :  [10, 10]
794 :  [10, 10]
795 :  [10, 10]
796 :  [10, 10]
797 :  [10, 10]
798 :  [10, 10]
799 :  [10, 10]
800 :  [10, 10]
801 :  [10, 10]
802 :  [10, 10]
803 :  [10, 10]
804 :  [10, 10]
805 :  [10, 10]
806 :  [10, 10]
807 :  [10, 10]
808 :  [10, 10]
809 :  [10, 10]
810 :  [10, 10]
811 :  [10, 10]
812 :  [10, 10]
813 :  [10, 10]
814 :  [10, 10]
815 :  [10, 10]
816 :  [10, 10]
817 :  [10, 10]
818 :  [10, 10]
819 :  [10, 10]
820 :  [10, 10]
821 :  [10, 10]
822 :  [10, 10]
823 :  [10, 10]
824 :  [10, 10]
825 :  [10, 10]
826 :  [10, 10]
827 :  [10, 56]
828 :  [56, 10]
829 :  [10, 180]
830 :  [180, 180]
831 :  [180, 10]
832 :  [10, 10]
833 :  [10, 10]
834 :  [10, 10]
835 :  [10, 10]
836 :  [10, 10]
837 :  [10, 10]
838 :  [10, 10]
839 :  [10, 10]
840 :  [10, 10]
841 :  [10, 10]
842 :  [10, 112]
843 :  [112, 10]
844 :  [10, 10]
845 :  [10, 124]
846 :  [124, 112]
847 :  [112, 124]
848 :  [124, 10]
849 :  [10, 10]
850 :  [10, 346]
851 :  [346, 112]
852 :  [112, 346]
853 :  [346, 112]
854 :  [112, 112]
855 :  [112, 346]
856 :  [346, 112]
857 :  [112, 346]
858 :  [346, 346]
859 :  [346, 157]
860 :  [157, 68]
861 :  [68, 10]
862 :  [10, 10]
863 :  [10, 10]
864 :  [10, 10]
865 :  [10, 10]
866 :  [10, 10]
867 :  [10, 10]
868 :  [10, 10]
869 :  [10, 384]
870 :  [384, 10]
871 :  [10, 346]
872 :  [346, 176]
873 :  [176, 384]
874 :  [384, 176]
875 :  [176, 49]
876 :  [49, 155]
877 :  [155, 10]
878 :  [10, 155]
879 :  [155, 10]
880 :  [10, 10]
881 :  [10, 10]
882 :  [10, 10]
883 :  [10, 10]
884 :  [10, 10]
885 :  [10, 10]
886 :  [10, 10]
887 :  [10, 10]
888 :  [10, 49]
889 :  [49, 176]
890 :  [176, 10]
891 :  [10, 384]
892 :  [384, 176]
893 :  [176, 10]
894 :  [10, 346]
895 :  [346, 10]
896 :  [10, 10]
897 :  [10, 10]
898 :  [10, 10]
899 :  [10, 10]
900 :  [10, 10]
901 :  [10, 10]
902 :  [10, 10]
903 :  [10, 10]
904 :  [10, 10]
905 :  [10, 10]
906 :  [10, 10]
907 :  [10, 10]
908 :  [10, 10]
909 :  [10, 10]
910 :  [10, 10]
911 :  [10, 10]
912 :  [10, 10]
913 :  [10, 10]
914 :  [10, 10]
915 :  [10, 10]
916 :  [10, 10]
917 :  [10, 10]
918 :  [10, 10]
919 :  [10, 10]
920 :  [10, 10]
921 :  [10, 10]
922 :  [10, 415]
923 :  [415, 10]
924 :  [10, 415]
925 :  [415, 10]
926 :  [10, 155]
927 :  [155, 10]
928 :  [10, 155]
929 :  [155, 10]
930 :  [10, 155]
931 :  [155, 155]
932 :  [155, 155]
933 :  [155, 155]
934 :  [155, 155]
935 :  [155, 10]
936 :  [10, 155]
937 :  [155, 10]
938 :  [10, 155]
939 :  [155, 10]
940 :  [10, 10]
941 :  [10, 10]
942 :  [10, 10]
943 :  [10, 10]
944 :  [10, 10]
945 :  [10, 10]
946 :  [10, 155]
947 :  [155, 10]
948 :  [10, 10]
949 :  [10, 10]
950 :  [10, 10]
951 :  [10, 10]
952 :  [10, 10]
953 :  [10, 10]
954 :  [10, 10]
955 :  [10, 10]
956 :  [10, 10]
957 :  [10, 10]
958 :  [10, 10]
959 :  [10, 10]
960 :  [10, 10]
961 :  [10, 10]
962 :  [10, 10]
963 :  [10, 10]
964 :  [10, 10]
965 :  [10, 10]
966 :  [10, 10]
967 :  [10, 10]
968 :  [10, 10]
969 :  [10, 10]
970 :  [10, 10]
971 :  [10, 10]
972 :  [10, 10]
973 :  [10, 10]
974 :  [10, 10]
975 :  [10, 10]
976 :  [10, 10]
977 :  [10, 155]
978 :  [155, 10]
979 :  [10, 10]
980 :  [10, 10]
981 :  [10, 10]
982 :  [10, 10]
983 :  [10, 10]
984 :  [10, 10]
985 :  [10, 10]
986 :  [10, 10]
987 :  [10, 10]
988 :  [10, 10]
989 :  [10, 10]
990 :  [10, 10]
991 :  [10, 10]
992 :  [10, 10]
993 :  [10, 10]
994 :  [10, 10]
995 :  [10, 10]
996 :  [10, 10]
997 :  [10, 10]
998 :  [10, 10]
999 :  [10, 10]
1000 :  [10, 10]
1001 :  [10, 10]
1002 :  [10, 157]
1003 :  [157, 10]
1004 :  [10, 10]
1005 :  [10, 10]
1006 :  [10, 384]
1007 :  [384, 10]
1008 :  [10, 346]
1009 :  [346, 346]
1010 :  [346, 346]
1011 :  [346, 10]
1012 :  [10, 68]
1013 :  [68, 68]
1014 :  [68, 68]
1015 :  [68, 10]
1016 :  [10, 69]
1017 :  [69, 346]
1018 :  [346, 10]
1019 :  [10, 346]
1020 :  [346, 10]
1021 :  [10, 346]
1022 :  [346, 10]
1023 :  [10, 69]
1024 :  [69, 10]
1025 :  [10, 68]
1026 :  [68, 68]
1027 :  [68, 10]
1028 :  [10, 10]
1029 :  [10, 68]
1030 :  [68, 10]
1031 :  [10, 10]
1032 :  [10, 10]
1033 :  [10, 68]
1034 :  [68, 10]
1035 :  [10, 68]
1036 :  [68, 17]
1037 :  [17, 68]
1038 :  [68, 10]
1039 :  [10, 10]
1040 :  [10, 10]
1041 :  [10, 10]
1042 :  [10, 10]
1043 :  [10, 10]
1044 :  [10, 384]
1045 :  [384, 10]
1046 :  [10, 10]
1047 :  [10, 10]
1048 :  [10, 10]
1049 :  [10, 346]
1050 :  [346, 346]
1051 :  [346, 346]
1052 :  [346, 346]
1053 :  [346, 346]
1054 :  [346, 35]
1055 :  [35, 346]
1056 :  [346, 35]
1057 :  [35, 10]
1058 :  [10, 10]
1059 :  [10, 10]
1060 :  [10, 10]
1061 :  [10, 10]
1062 :  [10, 346]
1063 :  [346, 10]
1064 :  [10, 10]
1065 :  [10, 10]
1066 :  [10, 10]
1067 :  [10, 10]
1068 :  [10, 10]
1069 :  [10, 10]
1070 :  [10, 10]
1071 :  [10, 12]
1072 :  [12, 10]
1073 :  [10, 12]
1074 :  [12, 346]
1075 :  [346, 9]
1076 :  [9, 68]
1077 :  [68, 346]
1078 :  [346, 68]
1079 :  [68, 346]
1080 :  [346, 10]
1081 :  [10, 346]
1082 :  [346, 10]
1083 :  [10, 10]
1084 :  [10, 10]
1085 :  [10, 10]
1086 :  [10, 10]
1087 :  [10, 10]
1088 :  [10, 10]
1089 :  [10, 68]
1090 :  [68, 10]
1091 :  [10, 68]
1092 :  [68, 68]
1093 :  [68, 10]
1094 :  [10, 10]
1095 :  [10, 10]
1096 :  [10, 10]
1097 :  [10, 10]
1098 :  [10, 10]
1099 :  [10, 10]
1100 :  [10, 10]
1101 :  [10, 8]
1102 :  [8, 8]
1103 :  [8, 124]
1104 :  [124, 329]
1105 :  [329, 124]
1106 :  [124, 124]
1107 :  [124, 157]
1108 :  [157, 205]
1109 :  [205, 159]
1110 :  [159, 159]
1111 :  [159, 10]
1112 :  [10, 10]
1113 :  [10, 10]
1114 :  [10, 159]
1115 :  [159, 205]
1116 :  [205, 10]
1117 :  [10, 159]
1118 :  [159, 10]
1119 :  [10, 159]
1120 :  [159, 157]
1121 :  [157, 205]
1122 :  [205, 10]
1123 :  [10, 10]
1124 :  [10, 10]
1125 :  [10, 10]
1126 :  [10, 10]
1127 :  [10, 10]
1128 :  [10, 10]
1129 :  [10, 10]
1130 :  [10, 10]
1131 :  [10, 10]
1132 :  [10, 49]
1133 :  [49, 10]
1134 :  [10, 10]
1135 :  [10, 10]
1136 :  [10, 10]
1137 :  [10, 10]
1138 :  [10, 10]
1139 :  [10, 124]
1140 :  [124, 10]
1141 :  [10, 10]
1142 :  [10, 10]
1143 :  [10, 10]
1144 :  [10, 10]
1145 :  [10, 124]
1146 :  [124, 124]
1147 :  [124, 10]
1148 :  [10, 10]
1149 :  [10, 10]
1150 :  [10, 124]
1151 :  [124, 124]
1152 :  [124, 124]
1153 :  [124, 124]
1154 :  [124, 124]
1155 :  [124, 124]
1156 :  [124, 10]
1157 :  [10, 10]
1158 :  [10, 124]
1159 :  [124, 124]
1160 :  [124, 10]
1161 :  [10, 68]
1162 :  [68, 10]
1163 :  [10, 10]
1164 :  [10, 10]
1165 :  [10, 10]
1166 :  [10, 10]
1167 :  [10, 10]
1168 :  [10, 10]
1169 :  [10, 10]
1170 :  [10, 10]
1171 :  [10, 10]
1172 :  [10, 10]
1173 :  [10, 10]
1174 :  [10, 68]
1175 :  [68, 10]
1176 :  [10, 124]
1177 :  [124, 124]
1178 :  [124, 10]
1179 :  [10, 10]
1180 :  [10, 10]
1181 :  [10, 155]
1182 :  [155, 10]
1183 :  [10, 124]
1184 :  [124, 10]
1185 :  [10, 155]
1186 :  [155, 10]
1187 :  [10, 10]
1188 :  [10, 10]
1189 :  [10, 10]
1190 :  [10, 10]
1191 :  [10, 10]
1192 :  [10, 10]
1193 :  [10, 10]
1194 :  [10, 10]
1195 :  [10, 10]
1196 :  [10, 10]
1197 :  [10, 10]
1198 :  [10, 10]
1199 :  [10, 49]
1200 :  [49, 10]
1201 :  [10, 10]
1202 :  [10, 124]
1203 :  [124, 124]
1204 :  [124, 124]
1205 :  [124, 124]
1206 :  [124, 124]
1207 :  [124, 180]
1208 :  [180, 180]
1209 :  [180, 180]
1210 :  [180, 124]
1211 :  [124, 124]
1212 :  [124, 156]
1213 :  [156, 156]
1214 :  [156, 124]
1215 :  [124, 10]
1216 :  [10, 10]
1217 :  [10, 176]
1218 :  [176, 176]
1219 :  [176, 10]
1220 :  [10, 10]
1221 :  [10, 10]
1222 :  [10, 10]
1223 :  [10, 10]
1224 :  [10, 10]
1225 :  [10, 10]
1226 :  [10, 10]
1227 :  [10, 10]
1228 :  [10, 176]
1229 :  [176, 176]
1230 :  [176, 10]
1231 :  [10, 10]
1232 :  [10, 10]
1233 :  [10, 10]
1234 :  [10, 10]
1235 :  [10, 10]
1236 :  [10, 10]
1237 :  [10, 10]
1238 :  [10, 10]
1239 :  [10, 10]
1240 :  [10, 10]
1241 :  [10, 10]
1242 :  [10, 10]
1243 :  [10, 10]
1244 :  [10, 10]
1245 :  [10, 10]
