================== DRONE: Verdun ================

0 :  [1, 149]
295 :  [56, 1]
296 :  [1, 1]
297 :  [1, 58]
298 :  [58, 1]
299 :  [1, 1]
300 :  [1, 122]
301 :  [122, 1]
302 :  [1, 122]
303 :  [122, 1]
304 :  [1, 58]
305 :  [58, 1]
306 :  [1, 1]
307 :  [1, 1]
308 :  [1, 58]
309 :  [58, 58]
310 :  [58, 56]
311 :  [56, 58]
312 :  [58, 1]
313 :  [1, 1]
314 :  [1, 55]
315 :  [55, 1]
316 :  [1, 55]
317 :  [55, 56]
318 :  [56, 58]
319 :  [58, 56]
320 :  [56, 1]
321 :  [1, 56]
322 :  [56, 1]
323 :  [1, 1]
324 :  [1, 1]
325 :  [1, 1]
326 :  [1, 1]
327 :  [1, 1]
328 :  [1, 1]
329 :  [1, 56]
330 :  [56, 1]
331 :  [1, 145]
332 :  [145, 1]
333 :  [1, 20]
334 :  [20, 149]
335 :  [149, 149]
336 :  [149, 358]
337 :  [358, 149]
338 :  [149, 1]
339 :  [1, 56]
340 :  [56, 56]
341 :  [56, 56]
342 :  [56, 1]
343 :  [1, 56]
344 :  [56, 358]
345 :  [358, 358]
346 :  [358, 358]
347 :  [358, 358]
348 :  [358, 1]
349 :  [1, 1]
350 :  [1, 358]
351 :  [358, 358]
352 :  [358, 149]
353 :  [149, 149]
354 :  [149, 145]
355 :  [145, 1]
356 :  [1, 56]
357 :  [56, 56]
358 :  [56, 1]
359 :  [1, 145]
360 :  [145, 149]
361 :  [149, 358]
362 :  [358, 1]
363 :  [1, 1]
364 :  [1, 56]
365 :  [56, 56]
366 :  [56, 56]
367 :  [56, 1]
368 :  [1, 56]
369 :  [56, 1]
370 :  [1, 1]
371 :  [1, 56]
372 :  [56, 56]
373 :  [56, 56]
374 :  [56, 56]
375 :  [56, 1]
376 :  [1, 1]
377 :  [1, 145]
378 :  [145, 149]
379 :  [149, 358]
380 :  [358, 358]
381 :  [358, 358]
382 :  [358, 1]
383 :  [1, 1]
384 :  [1, 56]
385 :  [56, 56]
386 :  [56, 1]
387 :  [1, 56]
388 :  [56, 1]
389 :  [1, 143]
390 :  [143, 1]
391 :  [1, 1]
392 :  [1, 1]
393 :  [1, 1]
394 :  [1, 1]
395 :  [1, 1]
396 :  [1, 1]
397 :  [1, 1]
398 :  [1, 1]
399 :  [1, 56]
400 :  [56, 1]
401 :  [1, 1]
402 :  [1, 1]
403 :  [1, 1]
404 :  [1, 1]
405 :  [1, 56]
406 :  [56, 1]
407 :  [1, 1]
408 :  [1, 1]
409 :  [1, 1]
410 :  [1, 1]
411 :  [1, 1]
412 :  [1, 56]
413 :  [56, 1]
414 :  [1, 1]
415 :  [1, 358]
416 :  [358, 358]
417 :  [358, 1]
418 :  [1, 358]
419 :  [358, 1]
420 :  [1, 1]
421 :  [1, 1]
422 :  [1, 358]
423 :  [358, 1]
424 :  [1, 56]
425 :  [56, 1]
426 :  [1, 1]
427 :  [1, 1]
428 :  [1, 1]
429 :  [1, 1]
430 :  [1, 56]
431 :  [56, 1]
432 :  [1, 1]
433 :  [1, 1]
434 :  [1, 1]
435 :  [1, 1]
436 :  [1, 56]
437 :  [56, 1]
438 :  [1, 56]
439 :  [56, 1]
440 :  [1, 56]
441 :  [56, 56]
442 :  [56, 1]
443 :  [1, 1]
444 :  [1, 1]
445 :  [1, 1]
446 :  [1, 1]
447 :  [1, 1]
448 :  [1, 56]
449 :  [56, 1]
450 :  [1, 1]
451 :  [1, 1]
452 :  [1, 1]
453 :  [1, 1]
454 :  [1, 1]
455 :  [1, 1]
456 :  [1, 1]
457 :  [1, 7]
458 :  [7, 1]
459 :  [1, 9]
460 :  [9, 56]
461 :  [56, 56]
462 :  [56, 1]
463 :  [1, 285]
464 :  [285, 285]
465 :  [285, 57]
466 :  [57, 285]
467 :  [285, 1]
468 :  [1, 1]
469 :  [1, 56]
470 :  [56, 1]
471 :  [1, 1]
472 :  [1, 1]
473 :  [1, 56]
474 :  [56, 1]
475 :  [1, 1]
476 :  [1, 56]
477 :  [56, 56]
478 :  [56, 58]
479 :  [58, 1]
480 :  [1, 47]
481 :  [47, 1]
482 :  [1, 26]
483 :  [26, 26]
484 :  [26, 20]
485 :  [20, 1]
486 :  [1, 56]
487 :  [56, 1]
488 :  [1, 1]
489 :  [1, 56]
490 :  [56, 1]
491 :  [1, 56]
492 :  [56, 1]
493 :  [1, 1]
494 :  [1, 1]
495 :  [1, 183]
496 :  [183, 1]
497 :  [1, 1]
498 :  [1, 8]
499 :  [8, 8]
500 :  [8, 9]
501 :  [9, 8]
502 :  [8, 8]
503 :  [8, 8]
504 :  [8, 7]
505 :  [7, 1]
506 :  [1, 7]
507 :  [7, 8]
508 :  [8, 8]
509 :  [8, 1]
510 :  [1, 1]
511 :  [1, 20]
512 :  [20, 1]
513 :  [1, 1]
514 :  [1, 1]
515 :  [1, 56]
516 :  [56, 1]
517 :  [1, 1]
518 :  [1, 1]
519 :  [1, 56]
520 :  [56, 1]
521 :  [1, 1]
522 :  [1, 56]
523 :  [56, 56]
524 :  [56, 1]
525 :  [1, 142]
526 :  [142, 142]
527 :  [142, 7]
528 :  [7, 1]
529 :  [1, 283]
530 :  [283, 1]
531 :  [1, 1]
532 :  [1, 1]
533 :  [1, 56]
534 :  [56, 56]
535 :  [56, 56]
536 :  [56, 1]
537 :  [1, 1]
538 :  [1, 1]
539 :  [1, 1]
540 :  [1, 1]
541 :  [1, 1]
542 :  [1, 1]
543 :  [1, 1]
544 :  [1, 1]
545 :  [1, 1]
546 :  [1, 1]
547 :  [1, 1]
548 :  [1, 1]
549 :  [1, 1]
550 :  [1, 1]
551 :  [1, 56]
552 :  [56, 57]
553 :  [57, 20]
554 :  [20, 20]
555 :  [20, 176]
556 :  [176, 58]
557 :  [58, 1]
558 :  [1, 20]
559 :  [20, 1]
560 :  [1, 179]
561 :  [179, 1]
562 :  [1, 142]
563 :  [142, 1]
564 :  [1, 7]
565 :  [7, 142]
566 :  [142, 1]
567 :  [1, 1]
568 :  [1, 1]
569 :  [1, 1]
570 :  [1, 1]
571 :  [1, 179]
572 :  [179, 1]
573 :  [1, 1]
574 :  [1, 1]
575 :  [1, 1]
576 :  [1, 1]
577 :  [1, 283]
578 :  [283, 1]
579 :  [1, 56]
580 :  [56, 1]
581 :  [1, 1]
582 :  [1, 1]
583 :  [1, 1]
584 :  [1, 149]
585 :  [149, 46]
586 :  [46, 46]
587 :  [46, 56]
588 :  [56, 56]
589 :  [56, 56]
590 :  [56, 46]
591 :  [46, 46]
592 :  [46, 46]
593 :  [46, 46]
594 :  [46, 1]
595 :  [1, 41]
596 :  [41, 1]
597 :  [1, 46]
598 :  [46, 1]
599 :  [1, 359]
600 :  [359, 1]
Temps d'éxécution : 2.9s
60.369 Km a parcourir dans le quartier Verdun .
Pour un cout de 0.6 euros et 100 euros de locations.
